userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore
073426810,303,87,16968,271,144,208,1698,14290
905223981,834,94,50874,271,54,155,1485,14202
756629274,739,94,61337,271,73,208,505,13857
870571002,258,87,20382,271,46,51,611,13596
067899880,998,119,74850,271,113,208,1514,14584
341779853,300,87,16800,271,198,155,1049,13885
143291896,452,87,14464,271,48,258,2008,14414
529622056,969,119,46512,271,164,103,2003,14258
690509876,596,94,29204,271,69,208,787,14516
772900375,857,119,59990,271,27,51,1449,13693
274967648,777,119,45066,271,474,51,1847,14188
528170445,1009,119,49441,271,210,103,904,14024
436902858,205,13,7585,271,207,155,1619,14496
599312426,246,44,23616,271,949,258,489,14556
914057756,133,13,8778,271,38,103,1151,13904
950815470,598,94,28106,271,50,51,1424,14048
081890976,201,13,18291,271,58,258,1184,14342
596130093,679,94,29197,271,164,103,1719,13613
588790849,273,13,12558,271,64,155,1316,14253
893729092,825,119,43725,271,45,155,1037,13698
448552298,334,44,28724,271,271,51,1161,13912
692375883,585,94,49725,271,35,51,1175,14078
048729138,413,44,8673,271,28,155,1229,13978
182762030,404,44,26260,271,36,103,1619,13681
062594544,812,119,64960,271,53,258,1438,13891
768085913,714,94,41412,271,33,103,1591,14045
788594292,978,119,48900,271,428,51,1557,13818
699824859,225,44,9900,271,40,51,1338,14438
188737379,604,94,21744,271,35,103,1671,14113
009615627,575,87,47725,271,26,51,1704,13931
768801264,522,75,41760,271,41,51,1453,14398
382055868,257,13,17990,271,26,208,752,13743
647740008,419,87,28911,271,210,103,1525,14103
197321417,751,94,73598,271,56,103,1947,14216
906715732,314,13,16956,271,36,208,1568,14180
043798028,825,94,78375,271,302,51,1246,14400
355287474,36,13,2520,271,40,258,1350,14155
564440747,1,13,39,271,553,208,1080,14314
344782749,175,13,14875,271,33,103,1401,13604
849658557,377,87,8671,271,632,155,885,14338
459012138,438,44,15330,271,28,103,1538,14209
407556678,1088,102,82688,271,141,51,994,14121
393131163,460,87,33120,271,92,258,1032,14405
209935840,249,44,15189,271,115,103,1765,14080
927784691,297,87,16632,271,43,51,1024,14117
872717358,630,94,27090,271,42,155,1432,14256
572541789,277,87,12465,271,38,208,934,14477
858644849,129,13,9030,271,84,258,569,13752
729724193,878,119,41266,271,340,155,956,13818
306772932,496,87,40176,271,428,103,1164,13781
234411280,8,13,224,271,34,258,2010,13846
501415316,559,87,50310,271,49,155,1065,13864
116503783,325,87,11050,271,33,51,1287,14246
147135830,158,13,14852,271,63,51,1045,13648
491745488,394,44,11032,271,28,258,1648,13828
436673365,888,119,57720,271,26,208,1681,14257
340272579,524,75,51352,271,28,258,561,13831
482031398,501,87,45591,271,179,103,971,13619
560982454,344,44,26488,271,29,155,622,14545
753318856,469,44,23450,271,45,258,1186,14065
045176743,1,13,37,271,33,155,1011,14083
007822537,52,13,2964,271,36,103,1786,14221
764366465,36,13,3276,271,31,103,956,13805
794992330,409,87,13088,271,46,103,649,14026
880284611,953,102,95300,271,32,258,1519,14250
968664027,1076,102,98992,271,80,208,728,13789
839940433,771,119,43947,271,53,51,1043,13721
145870784,1117,102,71488,271,27,208,1312,13855
875731371,293,44,22561,271,156,208,1189,13769
575255009,470,44,12220,271,553,51,1263,13692
410994346,739,94,60598,271,27,208,1240,14518
703575433,242,87,13068,271,316,155,476,13754
119916803,358,87,20406,271,78,258,1370,14164
514439051,20,13,1400,271,105,208,1622,14109
466185125,314,87,17270,271,182,155,2004,13731
489097354,654,94,58206,271,40,258,720,13772
857076093,969,119,93993,271,282,51,911,13750
305925503,812,94,73080,271,58,103,631,13835
538946444,64,13,4224,271,39,208,573,13936
188303771,48,13,1824,271,49,51,1255,13890
941741253,580,94,47560,271,32,208,1566,14490
107224311,590,94,41300,271,62,258,1010,14064
256584804,623,94,44856,271,62,51,775,14245
408971120,117,13,5616,271,31,103,1040,14398
196094747,1,13,28,271,103,103,1531,13854
371882252,330,13,29370,271,43,208,1255,13896
946665773,86,13,6106,271,154,103,660,14334
453390332,249,13,16683,271,88,258,1094,14564
557694808,437,87,38456,271,134,258,1390,14288
159073547,195,13,15990,271,71,258,687,13700
104973755,786,94,25152,271,82,103,1714,14150
512252491,778,94,70798,271,1476,208,801,13819
613443796,607,94,15782,271,31,208,1308,14310
107991211,262,13,25938,271,29,208,1345,13978
757457705,256,87,17920,271,2657,258,1318,14279
150954522,847,94,79618,271,28,103,1156,14413
891694977,746,119,56696,271,29,155,1710,14369
497152377,707,94,37471,271,102,258,1622,14034
793939212,514,87,45232,271,86,258,1433,13861
788220383,508,44,50292,271,104,258,1143,14127
