userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore
850872429,639,98,24282,471,63,236,987,27875
818725345,157,4,14758,471,77,176,579,27899
503386550,237,45,6873,471,60,294,885,28340
707774700,991,98,24775,471,169,176,553,27959
641871123,842,133,76622,471,119,294,427,28449
597355774,830,133,75530,471,147,58,863,27643
977152867,864,133,69120,471,87,117,606,27543
677262886,232,45,19952,471,127,58,728,28521
835860541,772,98,64848,471,112,294,1084,28111
543900024,442,74,44200,471,133,117,766,27833
756953575,176,45,6864,471,2068,58,568,28436
960172464,824,133,62624,471,433,58,676,27709
234860233,2,4,46,471,231,58,447,28442
453307532,188,45,11844,471,94,58,401,27735
768362828,500,74,41500,471,324,117,233,27873
905406192,739,98,60598,471,61,117,461,27651
636117543,179,45,9487,471,61,58,965,27536
622028400,545,74,11990,471,82,58,155,27823
862573375,1,4,28,471,109,58,919,27710
463230399,1,4,38,471,57,117,1073,28399
173542434,846,98,40608,471,138,294,328,27802
202698573,800,98,44000,471,163,236,549,27844
676736735,885,98,32745,471,80,58,1086,27906
271169819,289,45,15895,471,80,117,313,28492
617058082,290,45,9860,471,548,117,192,27846
063204636,1,4,92,471,90,117,1105,28317
458847929,55,4,1705,471,1075,176,468,27658
829343797,878,98,49168,471,1921,176,898,27671
487711676,540,74,22140,471,166,236,363,28273
748571364,236,45,21240,471,108,176,422,27628
544789336,794,98,66696,471,93,294,767,27567
555976154,838,133,51956,471,205,117,909,27687
335164170,435,74,36105,471,66,58,482,28433
096207038,326,45,29340,471,488,117,191,28359
275779270,170,45,16150,471,85,58,917,28271
174121747,761,98,39572,471,140,117,1101,28403
562176673,590,74,13570,471,118,58,602,28304
945578987,891,98,50787,471,231,236,1135,28020
451058299,185,45,6105,471,174,236,358,28365
944607857,757,98,74186,471,320,236,554,27663
875847571,739,98,50252,471,55,117,1040,27941
954656445,150,4,14100,471,61,294,1104,27906
415208058,837,133,53568,471,70,236,869,28092
022817810,487,74,20454,471,274,117,979,27828
432210029,820,98,27060,471,61,58,1136,28249
541039995,861,98,27552,471,123,58,516,28107
467921045,1,4,84,471,147,58,999,28453
650968723,1,4,36,471,162,236,911,28186
608763068,870,133,66120,471,1494,117,528,28338
208718308,795,98,31005,471,54,236,606,27612
086826898,758,133,71252,471,611,58,1066,27802
275356624,470,45,19270,471,58,58,721,27834
637726315,725,133,55100,471,548,236,201,28115
653191841,195,4,5070,471,65,117,184,28309
657698796,546,74,36582,471,340,117,655,28242
955912217,1,4,33,471,244,58,599,27808
916534637,459,74,36720,471,62,58,697,28203
419847493,380,45,26980,471,1344,58,688,27731
147176153,598,74,35282,471,448,236,431,28499
739642045,214,45,16264,471,89,294,1095,28439
994567937,383,45,18767,471,189,294,278,27797
577053636,714,74,69972,471,97,236,642,28328
702248638,542,74,35230,471,1075,294,473,28044
472420738,426,74,34080,471,517,58,837,27605
653571988,1,4,21,471,84,58,664,27585
616656474,651,74,63798,471,172,176,534,27855
925129389,80,4,5040,471,480,117,448,28354
973313706,1,4,84,471,66,176,1019,27666
512843908,203,4,14616,471,126,117,331,28286
618151833,427,45,38003,471,92,117,248,28330
109148863,199,45,4179,471,130,176,244,28236
216516872,519,74,39444,471,640,294,999,28470
047281575,646,74,52326,471,4482,236,867,28421
556713399,695,74,47955,471,129,58,1060,28454
896360037,1,4,90,471,129,176,633,27922
624576989,453,45,16308,471,149,58,793,27904
398067913,672,133,56448,471,55,117,613,28115
433079292,1,4,48,471,130,117,210,27791
862454550,608,74,35264,471,57,117,894,27630
685783819,314,45,7222,471,140,117,623,28166
072555609,660,98,25080,471,108,176,639,27882
584535151,519,74,25431,471,96,176,1037,28173
479226603,109,4,9483,471,463,58,814,28298
329706091,693,98,36729,471,176,294,805,28357
276653551,76,4,6688,471,123,176,417,27790
692265751,913,98,41998,471,433,294,916,28076
851072733,1,4,100,471,168,176,1155,28062
407196663,355,45,25205,471,309,176,960,28337
753523032,211,45,10339,471,93,176,916,27971
193543356,623,98,21182,471,1034,117,1019,27851
761071950,1,4,46,471,127,176,675,27583
257709881,960,98,80640,471,55,236,599,28317
859379565,680,74,41480,471,2988,176,484,28134
938666441,52,4,3536,471,170,176,876,28258
306848761,559,74,12298,471,186,236,532,28438
354676422,406,74,19488,471,87,58,297,28197
903140643,370,45,29230,471,655,236,140,28534
903898992,662,74,52960,471,283,117,431,27649
139463519,785,98,52595,471,71,117,488,28337
884495664,13,4,494,471,79,176,268,28150
